backend,num_rows,cardinality,operation,time_ms,compressed_bytes,compression_ratio,result_cardinality,iteration
WAH (FastBit),36244344,11,load,0.091787,308,6.18027e-06,0,1
WAH (FastBit),36244344,11,OR,0.006348,0,0,20122661,1
WAH (FastBit),36244344,11,AND,0.001547,0,0,0,1
WAH (FastBit),36244344,11,XOR,0.001768,0,0,20122661,1
WAH (FastBit),36244344,11,multi-OR,0.005797,0,0,36244344,1
WAH (FastBit),36244344,11,OR_op,0.000309,0,0,0,1
WAH (FastBit),36244344,11,AND_op,0.0003,0,0,0,1
WAH (FastBit),36244344,11,XOR_op,0.0003,0,0,0,1
WAH (FastBit),36244344,11,NOT_op,0.000137,0,0,0,1
WAH (FastBit),36244344,11,COMP_op,0.00112,0,0,0,1
