backend,num_rows,cardinality,operation,time_ms,compressed_bytes,compression_ratio,result_cardinality,iteration
DDC (New),36244344,3,load,0.193657,953,7.01167e-05,0,1
DDC (New),36244344,3,OR,0.019052,0,0,18491,1
DDC (New),36244344,3,AND,0.004104,0,0,0,1
DDC (New),36244344,3,XOR,0.008751,0,0,18491,1
DDC (New),36244344,3,multi-OR,0.010111,0,0,26216,1
DDC (New),36244344,3,OR_op,0.000883,0,0,18491,1
DDC (New),36244344,3,AND_op,8.3e-05,0,0,0,1
DDC (New),36244344,3,XOR_op,0.000857,0,0,18491,1
DDC (New),36244344,3,NOT_op,0.000297,0,0,36234095,1
DDC (New),36244344,3,COMP_op,0.046837,0,0,36236102,1
