backend,num_rows,cardinality,operation,time_ms,compressed_bytes,compression_ratio,result_cardinality,iteration
EWAH,4523930,3,load,0.01564,192,0.000113176,0,1
EWAH,4523930,3,OR,0.001421,0,0,1043,1
EWAH,4523930,3,AND,0.000836,0,0,0,1
EWAH,4523930,3,XOR,0.001145,0,0,1043,1
EWAH,4523930,3,multi-OR,0.000618,0,0,1505,1
EWAH,4523930,3,OR_op,0.000113,0,0,0,1
EWAH,4523930,3,AND_op,9.3e-05,0,0,0,1
EWAH,4523930,3,XOR_op,0.000103,0,0,0,1
EWAH,4523930,3,NOT_op,9.8e-05,0,0,0,1
EWAH,4523930,3,COMP_op,0.00036,0,0,0,1
