backend,num_rows,cardinality,operation,time_ms,compressed_bytes,compression_ratio,result_cardinality,iteration
DDC (New),36244344,11,load,0.605844,1514,3.03797e-05,0,1
DDC (New),36244344,11,OR,0.021287,0,0,20122661,1
DDC (New),36244344,11,AND,0.002496,0,0,0,1
DDC (New),36244344,11,XOR,0.002851,0,0,20122661,1
DDC (New),36244344,11,multi-OR,0.048048,0,0,36244344,1
DDC (New),36244344,11,OR_op,0.000216,0,0,20122661,1
DDC (New),36244344,11,AND_op,0.000144,0,0,0,1
DDC (New),36244344,11,XOR_op,0.000216,0,0,20122661,1
DDC (New),36244344,11,NOT_op,0.000136,0,0,23573656,1
DDC (New),36244344,11,COMP_op,0.0426,0,0,28792371,1
