backend,num_rows,cardinality,operation,time_ms,compressed_bytes,compression_ratio,result_cardinality,iteration
WAH (FastBit),36244344,3,load,0.047832,228,1.6775e-05,0,1
WAH (FastBit),36244344,3,OR,0.006749,0,0,18491,1
WAH (FastBit),36244344,3,AND,0.001665,0,0,0,1
WAH (FastBit),36244344,3,XOR,0.001823,0,0,18491,1
WAH (FastBit),36244344,3,multi-OR,0.002353,0,0,26216,1
WAH (FastBit),36244344,3,OR_op,0.00066,0,0,0,1
WAH (FastBit),36244344,3,AND_op,0.000315,0,0,0,1
WAH (FastBit),36244344,3,XOR_op,0.00034,0,0,0,1
WAH (FastBit),36244344,3,NOT_op,0.000137,0,0,0,1
WAH (FastBit),36244344,3,COMP_op,0.002118,0,0,0,1
WAH (FastBit),36244344,3,COMP_op_conv,0.33407,0,0,36236102,1
