backend,num_rows,cardinality,operation,time_ms,compressed_bytes,compression_ratio,result_cardinality,iteration
CRoaring,4523930,3,load,0.033614,57,3.35991e-05,0,1
CRoaring,4523930,3,OR,0.044004,0,0,1043,1
CRoaring,4523930,3,AND,0.19207,0,0,0,1
CRoaring,4523930,3,XOR,0.012059,0,0,1043,1
CRoaring,4523930,3,multi-OR,0.000949,0,0,1505,1
CRoaring,4523930,3,OR_op,8.2e-05,0,0,1043,1
CRoaring,4523930,3,AND_op,6e-05,0,0,0,1
CRoaring,4523930,3,XOR_op,8.5e-05,0,0,1043,1
CRoaring,4523930,3,NOT_op,0.003116,0,0,4523390,1
CRoaring,4523930,3,OR_op_conv,0.011768,0,0,1043,1
CRoaring,4523930,3,AND_op_conv,0.01173,0,0,0,1
CRoaring,4523930,3,XOR_op_conv,0.011764,0,0,1043,1
CRoaring,4523930,3,NOT_op_conv,0.028865,0,0,4523390,1
CRoaring,4523930,3,COMP_op_native,0.002622,0,0,4523427,1
CRoaring,4523930,3,COMP_op,0.028228,0,0,0,1
