backend,num_rows,cardinality,operation,time_ms,compressed_bytes,compression_ratio,result_cardinality,iteration
CRoaring,4523930,3,load,0.032616,57,3.35991e-05,0,1
CRoaring,4523930,3,OR,0.037708,0,0,1043,1
CRoaring,4523930,3,AND,0.167363,0,0,0,1
CRoaring,4523930,3,XOR,0.012101,0,0,1043,1
CRoaring,4523930,3,multi-OR,0.000924,0,0,1505,1
CRoaring,4523930,3,OR_op,8.1e-05,0,0,1043,1
CRoaring,4523930,3,AND_op,6.2e-05,0,0,0,1
CRoaring,4523930,3,XOR_op,8.5e-05,0,0,1043,1
CRoaring,4523930,3,NOT_op,0.0031,0,0,4523390,1
CRoaring,4523930,3,OR_op_conv,0.011766,0,0,1043,1
CRoaring,4523930,3,AND_op_conv,0.011733,0,0,0,1
CRoaring,4523930,3,XOR_op_conv,0.011761,0,0,1043,1
CRoaring,4523930,3,NOT_op_conv,0.029118,0,0,4523390,1
CRoaring,4523930,3,COMP_op_native,0.00259,0,0,4523427,1
CRoaring,4523930,3,COMP_op,0.028224,0,0,0,1
