backend,num_rows,cardinality,operation,time_ms,compressed_bytes,compression_ratio,result_cardinality,iteration
EWAH,36244344,3,load,0.014418,480,3.53159e-05,0,1
EWAH,36244344,3,OR,0.002975,0,0,18491,1
EWAH,36244344,3,AND,0.001113,0,0,0,1
EWAH,36244344,3,XOR,0.00182,0,0,18491,1
EWAH,36244344,3,multi-OR,0.001186,0,0,26216,1
EWAH,36244344,3,OR_op,0.000192,0,0,0,1
EWAH,36244344,3,AND_op,0.000149,0,0,0,1
EWAH,36244344,3,XOR_op,0.000206,0,0,0,1
EWAH,36244344,3,NOT_op,0.000108,0,0,0,1
EWAH,36244344,3,COMP_op,0.00081,0,0,0,1
