backend,num_rows,cardinality,operation,time_ms,compressed_bytes,compression_ratio,result_cardinality,iteration
WAH (FastBit),36244344,3,load,0.052185,228,1.6775e-05,0,1
WAH (FastBit),36244344,3,OR,0.011765,0,0,18491,1
WAH (FastBit),36244344,3,AND,0.00224,0,0,0,1
WAH (FastBit),36244344,3,XOR,0.002081,0,0,18491,1
WAH (FastBit),36244344,3,multi-OR,0.002392,0,0,26216,1
WAH (FastBit),36244344,3,OR_op,0.000682,0,0,0,1
WAH (FastBit),36244344,3,AND_op,0.000355,0,0,0,1
WAH (FastBit),36244344,3,XOR_op,0.000347,0,0,0,1
WAH (FastBit),36244344,3,NOT_op,0.000164,0,0,0,1
WAH (FastBit),36244344,3,COMP_op,0.002156,0,0,0,1
