backend,num_rows,cardinality,operation,time_ms,compressed_bytes,compression_ratio,result_cardinality,iteration
DDC (New),234997,215,load,1.20203,275748,0.0436618,0,1
DDC (New),234997,215,OR,0.028397,0,0,100888,1
DDC (New),234997,215,AND,0.023843,0,0,0,1
DDC (New),234997,215,XOR,0.018249,0,0,100888,1
DDC (New),234997,215,multi-OR,0.455554,0,0,211073,1
DDC (New),234997,215,OR_op,0.002867,0,0,100888,1
DDC (New),234997,215,AND_op,0.003012,0,0,0,1
DDC (New),234997,215,XOR_op,0.002845,0,0,100888,1
DDC (New),234997,215,NOT_op,0.001454,0,0,150154,1
DDC (New),234997,215,COMP_op,0.007145,0,0,218952,1
